hs,bm,bk,ppn,ppnbm
0307.32.00,5,0,0,0
0307.39,,,,
0307.39.30,5,0,11,0
0307.39.40,5,0,11,0
0307.42,,,,
0307.42.11,5,0,11,0
0307.42.19,5,0,11,0
0307.42.21,5,0,0,0
0307.42.29,5,0,0,0
0307.43,,,,
0307.43.10,5,0,0,0
0307.43.90,5,0,0,0
0307.49,,,,
0307.49.21,5,0,11,0
0307.49.29,5,0,11,0
0307.49.31,5,0,11,0
0307.49.39,5,0,11,0
0307.51,,,,
0307.51.10,5,0,11,0
0307.51.20,5,0,0,0
0307.52.00,5,0,0,0
0307.59,,,,
0307.59.20,5,0,11,0
0307.59.30,5,0,11,0
0307.60,,,,
0307.60.10,5,0,11,0
0307.60.20,5,0,0,0
0307.60.40,5,0,11,0
0307.60.50,5,0,11,0
0307.71,,,,
0307.71.10,5,0,0,0
0307.71.20,5,0,0,0
0307.72.00,5,0,0,0
0307.79,,,,
0307.79.30,5,0,11,0
0307.79.40,5,0,11,0
0307.81,,,,
0307.81.10,5,0,0,0
0307.81.20,5,0,0,0
0307.82,,,,
0307.82.10,5,0,11 ,0
0307.82.20,5,0,11 ,0
0307.83.00,5,0,0,0
0307.84.00,5,0,11 ,0
0307.87,,,,
0307.87.10,5,0,11,0
0307.87.20,5,0,11,0
0307.88,,,,
0307.88.10,5,0,11,0
0307.88.20,5,0,11,0
0307.91,,,,
0307.91.10,5,0,11 ,0
0307.91.20,5,0,11 ,0
0307.92.00,5,0,11 ,0
0307.99,,,,
0307.99.30,5,0,11,0
0307.99.40,5,0,11,0
03.08,,,,
0308.11,,,,
0308.11.10,5,0,11,0
0308.11.20,5,0,0,0
0308.12.00,5,0,0,0
0308.19,,,,
0308.19.20,5,0,11,0
0308.19.30,5,0,11,0
0308.21,,,,
0308.21.10,5,0,11,0
0308.21.20,5,0,11,0
0308.22.00,5,0,11,0
0308.29,,,,
0308.29.20,5,0,11,0
0308.29.30,5,0,11,0
0308.30,,,,
0308.30.10,5,0,11,0
0308.30.20,5,0,11,0
0308.30.30,5,0,11,0
0308.30.40,5,0,11,0
0308.30.50,5,0,11,0
0308.90,,,,
0308.90.10,5,0,11,0
0308.90.20,5,0,11,0
0308.90.30,5,0,11,0
0308.90.40,5,0,11,0
0308.90.50,5,0,11,0
03.09,,,,
0309.10.00,5,0,11,0
0309.90,,,,
0309.90.11,5,0,11,0
0309.90.12,5,0,11,0
0309.90.19,5,0,11,0
0309.90.21,5,0,11,0
0309.90.22,5,0,11,0
0309.90.29,5,0,11,0
0309.90.90,5,0,11,0
04.01,,,,
0401.10,,,,
0401.10.10,5,0,11 ,0
0401.10.90,5,0,11 ,0
0401.20,,,,
0401.20.10,5,0,11 ,0
0401.20.90,5,0,11 ,0
0401.40,,,,
0401.40.10,5,0,11 ,0
0401.40.20,5,0,11 ,0
0401.40.90,5,0,11 ,0
0401.50,,,,
0401.50.10,5,0,11 ,0
0401.50.90,5,0,11 ,0
04.02,,,,
0402.10,,,,
0402.10.41,5,0,11,0
0402.10.42,5,0,11,0
0402.10.49,5,0,11,0
0402.10.91,5,0,11,0
0402.10.92,5,0,11,0
0402.10.99,5,0,11,0
0402.21,,,,
0402.21.20,5,0,11,0
0402.21.30,5,0,11,0
0402.21.90,5,0,11,0
0402.29,,,,
0402.29.20,5,0,11,0
0402.29.30,5,0,11,0
0402.29.90,5,0,11,0
0402.91.00,5,0,11,0
0402.99.00,10,0,11,0
04.03,,,,
0403.20,,,,
0403.20.11,10,0,11,0
0403.20.19,10,0,11,0
0403.20.91,10,0,11,0
0403.20.99,10,0,11,0
0403.90,,,,
0403.90.10,5,0,11,0
0403.90.90,5,0,11,0
04.04,,,,
0404.10,,,,
0404.10.11,5,0,11,0
0404.10.19,5,0,11,0
0404.10.91,5,0,11,0
0404.10.99,5,0,11,0
0404.90.00,5,0,11,0
04.05,,,,
0405.10.00,5,0,11,0
0405.20.00,5,0,11,0
0405.90,,,,
0405.90.10,5,0,11,0
0405.90.20,5,0,11,0
0405.90.30,5,0,11,0
0405.90.90,5,0,11,0
04.06,,,,
0406.10,,,,
0406.10.10,5,0,11,0
0406.10.20,5,0,11,0
0406.20,,,,
0406.20.10,5,0,11,0
0406.20.90,5,0,11,0
